,2012 г.,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.
97401000000 Чебоксары,,,,,,160.0,499.99
57000000000 Пермский край,1918.6,2042.7,3520.2,806.8,546.7,3351.5,12574.03
57401000000 Пермь,,,,,,,3118.0
33000000000 Кировская область,1358.0,1661.9,767.9,1597.0,4815.97,11828.17,10981.11
33401000000 Киров,,,,,,11492.6,10133.29
22000000000 Нижегородская область,4960.7,3719.4,22925.6,8820.2,28186.9,28529.41,35050.32
22401000000 Нижний Новгород,,,,,,0.0,0.0
53000000000 Оренбургская область,826.99,866.1,510.39,646.0,1111.7,2837.76,2750.16
53401000000 Оренбург,,,,,,2301.97,2064.26
56000000000 Пензенская область,139.19,17.0,20.69,550.19,674.4,716.8,5299.9
36000000000 Самарская область,1066.5,4912.39,810.99,9179.1,46325.8,6131.7,1756.72
36401000000 Самара,,,,,,1099.67,
63000000000 Саратовская область,26.0,240.99,2210.4,50.0,0.0,20.07,58.85
63401000000 Саратов,,,,,,20.07,58.85
73000000000 Ульяновская область,249.39,981.59,308.6,629.39,723.5,90.73,490.65
73401000000 Ульяновск,,,,,,,325.52
034 Уральский федеральный округ,48647.1,22657.1,26739.9,12395.6,16606.03,30122.43,18632.65
37000000000 Курганская область,104.2,1658.9,32.19,42.4,226.99,1040.59,107.97
37401000000 Курган,,,,,,1005.62,89.27
65000000000 Свердловская область,15458.0,6734.9,6099.5,9450.79,7422.1,9056.66,4065.13
65401000000 Екатеринбург,,,,,,23.5,137.79
71000000000 Тюменская область,27317.4,11887.7,7868.5,1847.49,1951.07,3569.74,8190.71
71401000000 Тюмень,,,,,,944.09,2850.5
71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область),25539.9,8639.9,5224.2,1303.4,612.81,1845.01,2963.4
71131000000 Ханты-Мансийск,,,,,,245.69,739.99
71140000000 Ямало-Ненецкий автономный округ (Тюменская область),1267.8,2573.6,2326.4,191.7,184.25,676.21,2163.7
71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),509.69,674.2,317.89,352.39,1153.99,1048.52,3063.6
75000000000 Челябинская область,5767.5,2375.6,12739.7,1054.9,7005.86,16455.44,6268.84
75401000000 Челябинск,,,,,,16014.54,3091.2
035 Сибирский федеральный округ,20844.5,17854.2,20115.7,35904.8,16249.61,11931.17,
041 Сибирский федеральный округ,,,,,,,94479.24
84000000000 Республика Алтай,373.19,0.0,0.0,,,0.0,0.0
84401000000 Горно-Алтайск,,,,,,0.0,0.0
81000000000 Республика Бурятия,29.7,177.69,291.29,625.69,10.3,54.66,72.89
81401000000 Улан-Удэ,,,,,,9.0,44.1
93000000000 Республика Тыва,0.0,0.0,0.0,,0.01,,
95000000000 Республика Хакасия,15.59,18.6,603.9,13.8,184.7,214.59,26.71
95401000000 Абакан,,,,,,1.09,6.31
01000000000 Алтайский край,2508.0,4729.8,6614.1,3465.4,1640.44,863.03,3281.69
01401000000 Барнаул,,,,,,578.28,2533.61
76000000000 Забайкальский край,1526.9,679.8,681.39,16.6,176.45,30.2,13.39
04000000000 Красноярский край,3250.4,2863.8,56.9,10.3,1578.6,687.39,527.99
04401000000 Красноярск,,,,,,,116.47
25000000000 Иркутская область,2840.9,1084.9,2426.69,12021.7,3566.8,1148.6,1467.38
25401000000 Иркутск,,,,,,90.68,184.09
32000000000 Кемеровская область - Кузбасс,941.59,187.4,291.89,145.39,20.0,20.0,387.27
50000000000 Новосибирская область,8826.8,7600.3,8946.6,15202.7,1979.91,6883.32,5438.5
50401000000 Новосибирск,,,,,,6820.0,5430.0
52000000000 Омская область,486.99,318.69,33.1,2359.69,5737.8,1990.23,83203.2
52401000000 Омск,,,,,,1958.63,83201.6
69000000000 Томская область,44.4,193.19,169.8,2043.5,1354.59,39.11,146.49
69401000000 Томск,,,,,,17.82,86.79
036 Дальневосточный федеральный округ,3287.7,3247.7,1219.5,895.09,1676.1,7298.56,
042 Дальневосточный федеральный округ,,,,,,,10598.78
98000000000 Республика Саха (Якутия),1552.4,497.99,120.8,,0.0,5052.06,7394.0
98401000000 Якутск,,,,,,5019.99,7394.0
30000000000 Камчатский край,59.6,54.9,29.9,,40.0,25.0,26.0
30401000000 Петропавловск-Камчатский,,,,,,25.0,26.0
05000000000 Приморский край,306.5,734.1,95.8,266.19,236.8,145.74,456.79
08000000000 Хабаровский край,1091.9,587.9,352.5,266.7,543.0,934.69,2531.81
08401000000 Хабаровск,,,,,,719.0,2079.0
10000000000 Амурская область,112.09,1053.0,132.99,82.9,580.0,669.83,3.8
10401000000 Благовещенск,,,,,,0.0,
44000000000 Магаданская область,0.0,0.0,0.0,,,,
64000000000 Сахалинская область,129.69,284.29,449.29,242.59,240.09,77.2,86.18
64401000000 Южно-Сахалинск,,,,,,0.8,0.3
99000000000 Еврейская автономная область,35.5,35.5,38.19,36.7,36.19,102.8,13.89
